tick,0,1,2,3,4,5
4.01,30,-68,25,56,-51,-32
4.0200000000000005,31,-69,21,59,-48,-36
4.03,33,-69,18,60,-45,-39
4.04,34,-69,15,62,-43,-42
4.05,35,-69,12,63,-40,-44
4.0600000000000005,36,-69,9,65,-37,-47
4.07,37,-69,7,66,-35,-49
4.08,38,-69,4,67,-32,-51
4.09,38,-68,1,67,-29,-53
4.1,39,-68,0,68,-27,-55
4.11,40,-67,-2,68,-24,-57
4.12,40,-66,-5,69,-22,-58
4.13,41,-66,-7,69,-20,-59
4.14,41,-65,-9,69,-18,-60
4.15,41,-64,-11,69,-16,-62
4.16,42,-63,-13,69,-13,-63
4.17,42,-62,-15,69,-12,-64
4.18,42,-61,-17,69,-10,-65
4.19,43,-60,-19,69,-8,-65
4.2,43,-59,-21,69,-6,-66
4.21,43,-58,-23,69,-4,-67
4.22,43,-56,-25,68,-2,-67
4.23,43,-55,-26,68,-1,-68
4.24,43,-54,-28,68,0,-68
4.25,43,-52,-30,67,2,-68
4.26,43,-51,-32,67,4,-69
4.2700000000000005,43,-50,-33,66,6,-69
4.28,43,-48,-35,66,7,-69
4.29,43,-47,-37,65,8,-69
4.3,43,-45,-39,64,11,-69
4.3100000000000005,42,-44,-40,63,13,-69
4.32,42,-43,-41,62,14,-69
4.33,42,-41,-43,62,16,-69
4.34,42,-39,-45,61,18,-69
4.3500000000000005,41,-38,-46,60,19,-69
4.36,41,-37,-47,59,20,-69
4.37,41,-35,-49,58,22,-69
4.38,40,-33,-50,57,24,-69
4.39,40,-32,-51,56,25,-68
4.4,40,-30,-53,54,28,-68
4.41,39,-28,-54,53,29,-67
4.42,39,-27,-55,52,30,-67
4.43,38,-25,-56,51,32,-67
4.44,38,-24,-57,50,34,-66
4.45,37,-22,-58,48,35,-66
4.46,37,-20,-59,47,36,-65
4.47,36,-19,-60,45,39,-64
4.48,36,-17,-61,44,40,-63
4.49,35,-15,-62,43,41,-63
4.5,34,-13,-63,41,43,-62
4.51,34,-12,-64,39,45,-61
4.5200000000000005,33,-10,-64,38,46,-60
4.53,32,-8,-65,36,48,-59
4.54,32,-7,-66,35,49,-58
4.55,31,-5,-66,33,50,-57
4.5600000000000005,30,-3,-67,31,52,-56
4.57,29,-2,-67,29,53,-54
4.58,29,0,-68,28,54,-53
4.59,28,0,-68,27,55,-52
